source,symbol,link,date,title,content
한국경제TV,242850,/news/news_read.nhn?article_id=0000458456&office_id=215&mode=search&query=영현무역&page=1,2016-04-29 16:38,"영현무역, 코넥스시장 상장신청서 접수","[한국경제TV 임동진 기자] 한국거래소는 영현무역이 코넥스시장 신규 상장 신청서를 제출했다고 밝혔습니다. 거래소는 약 2주간의 상장심사를 거쳐 승인 여부를 결정할 예정입니다. 영현무역은 봉제의복제조업체로 지난해 매출 103억9천700만원, 순이익 4억6천100만원을 기록했습니다. 지정자문인은 KB투자증권입니다."
이데일리,242850,/news/news_read.nhn?article_id=0003532653&office_id=018&mode=search&query=영현무역&page=1,2016-04-29 16:28,"거래소, 영현무역 코넥스 신규상장 신청서 접수","[이데일리 안혜신 기자] 한국거래소는 영현무역의 코넥스시장 신규상장신청서를 접수했다고 29일 밝혔다. 봉제의복제조업체인 영현무역은 지난해 매출 103억9700만원, 순이익 4억6100만원을 기록했다. 자기자본은 14억600만원이다. 한국거래소는 약 2주간의 상장심사(하이투자증권이 제출한 상장적격성 보고서 검토 및 현지답사)를 거쳐 상장승인 여부를 결정할 예정이다. 한편 이날 기준 코넥스시장에는 116개 회사가 상장돼있다."
파이낸셜뉴스,242850,/news/news_read.nhn?article_id=0003642048&office_id=014&mode=search&query=영현무역&page=1,2016-04-29 15:14,"거래소, &quot;영현무역, 코넥스시장 신규상장 신청서 제출&quot;",한국거래소는 영현무역이 코넥스시장 신규 상장 신청서를 제출했다고 29일 밝혔다. 거래소는 약 2주간의 상장심사를 거쳐 승인 여부를 결정할 예정이다. 봉제의복제조업체 영현무역은 지난해 기준 매출 103억9700만원과 순이익 4억6100만원을 올린 것으로 집계됐다. 영현무역이 2015년 런칭한 남성복 ‘라카테넬라’는 홈쇼핑에서 매진을 기록하기도했다. 이번 상장의 지정자문인은 KB투자증권이 맡았다.
파이낸셜뉴스,242850,/news/news_read.nhn?article_id=0003944532&office_id=014&mode=search&query=영현무역&page=1,2018-01-16 09:41,"[fnRASSI]영현무역, 14.75% 오르며 거래량 증가","영현무역은 투자자들의 관심으로 현재 거래량이 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 영현무역은 5일 연속 상승흐름을 보이며, 9시 37분 현재 14.75% 증가한 1,245원에 거래중이다. 외국인 보유량 변화 없음, 기관 감소 (5일 누적) 최근 5일간 동종목의 외국인 투자자는 0주 순매수하였고 반면 기관은 0주 순매도하였다. 전날 두 주체의 각각 순매수량은 0으로 보유비율이 그대로이다. 다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
이데일리,242850,/news/news_read.nhn?article_id=0003545246&office_id=018&mode=search&query=영현무역&page=1,2016-05-17 16:12,"영현무역, 코넥스 신규 상장&hellip;20일부터 매매 거래 개시","[이데일리 신상건 기자] 한국거래소는 영현무역의 코넥스시장 신규상장을 승인했다고 17일 밝혔다. 매매 거래는 오는 20일부터 개시된다. 영현무역은 섬유, 의류 등을 주로 다루는 상품중개업체다. 지난해 말 기준 매출액 104억원, 영업이익 6억원, 당기순이익 5억원을 기록했다. 평가가격은 1390원이며 액면가는 500원이다."
파이낸셜뉴스,242850,/news/news_read.nhn?article_id=0004002510&office_id=014&mode=search&query=영현무역&page=1,2018-04-16 09:19,"[fnRASSI]영현무역, 거래량 확대되며 3거래일 연속 하락","영현무역(242850)은 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 경신했다. 그리고 영현무역은 3일 연속 하락흐름을 보이며, 9시 13분 현재 14.71% 내린 870원에 거래중이다. 외국인 보유량 변화 없음, 기관 증가 (5일 누적) 최근 5일간 동종목의 외국인 투자자는 0주 순매수하였고 마찬가지로 기관은 0주 순매수하였다. 전날 두 주체의 각각 순매수량은 0으로 보유비율이 그대로이다. 다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
뉴스1,242850,/news/news_read.nhn?article_id=0002064749&office_id=421&mode=search&query=영현무역&page=1,2016-05-20 11:21,영현무역 코넥스시장 신규상장기념,"(서울=뉴스1) 조현아  인턴기자 = 한국거래소 코스닥시장본부가 20일 오전 서울 여의도 사옥 홍보관에서 섬유도매 및 의류 제조업체인 영현무역의 코넥스시장 신규상장기념식을 개최했다.상장기념패 전달 후 참석자들이 기념촬영을 하고 있다. 왼쪽부터 임승원 한국IR협의회 부회장, 김재준 한국거래소 코스닥시장위원회 위원장, 이관묵 영현무역 대표이사, 김성현 KB투자증권 부사장, 김민용 코넥스협회 부회장. (한국거래소 제공) 2016.5.20/뉴스1"
파이낸셜뉴스,242850,/news/news_read.nhn?article_id=0003963598&office_id=014&mode=search&query=영현무역&page=1,2018-02-12 09:36,"[fnRASSI]영현무역, 당일 거래량 증가하며 4거래일 하락세 지속","영현무역(242850)은 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 영현무역은 4일 연속 하락흐름을 보이며, 9시 30분 현재 14.79% 내린 1,210원에 거래중이다. 외국인 보유량 변화 없음, 기관 증가 (5일 누적) 최근 5일간 동종목의 외국인 투자자는 0주 순매수하였고 마찬가지로 기관은 0주 순매수하였다. 전날 두 주체의 각각 순매수량은 0으로 보유비율이 그대로이다. 다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
이데일리,242850,/news/news_read.nhn?article_id=0003547628&office_id=018&mode=search&query=영현무역&page=1,2016-05-20 10:25,[포토]영현무역 코넥스시장 신규상장 기념식,"[이데일리 유재희 기자] 한국거래소 코스닥시장본부는 20일 오전 서울사옥 홍보관에서 섬유도매 및 의류 제조업체인 영현무역의 코넥스시장 신규상장 기념식을 개최했다. 왼쪽부터 임승원 한국IR협의회 부회장, 김재준 한국거래소 코스닥시장위원회 위원장, 이관묵 영현무역 대표이사, 김성현 KB투자증권 부사장, 김민용 코넥스협회 부회장 (사진: 한국거래소)"
연합뉴스,242850,/news/news_read.nhn?article_id=0008415308&office_id=001&mode=search&query=영현무역&page=1,2016-05-20 10:14,영현무역 코넥스시장 신규상장기념식,"(서울=연합뉴스) 한국거래소 코스닥시장본부가 20일 오전 서울 영등포구 서울사옥에서 섬유도매 및 의류 제조업체인 (주)영현무역의 코넥스시장 신규상장 기념식을 개최했다. 왼쪽부터 임승원 한국IR협의회 부회장, 김재준 한국거래소 코스닥시장위원회 위원장, 이관묵 대표이사, 김성현 KB투자증권 부사장, 김민용 코넥스협회 부회장이 기념촬영을 하고 있다. 2016.5.20 [한국거래소 제공]"
뉴시스,242850,/news/news_read.nhn?article_id=0007239518&office_id=003&mode=search&query=영현무역&page=1,2016-05-20 09:34,영현무역 코넥스시장 신규상장 기념식,"【서울=뉴시스】한국거래소 코스닥시장본부는 20일 오전 서울 여의도 서울사옥 홍보관에서 섬유도매 및 의류 제조업체인 영현무역의 코넥스시장 신규상장 기념식을 개최했다. 왼쪽부터 임승원 한국IR협의회 부회장, 김재준 한국거래소 코스닥시장위원회 위원장, 이관묵 영현무역 대표이사, 김성현 KB투자증권 부사장, 김민용 코넥스협회 부회장이 기념촬영을 하고 있다. 2016.05.20. (사진=한국거래소 제공)"
한국경제,242850,/news/news_read.nhn?article_id=0003587175&office_id=015&mode=search&query=영현무역&page=1,2016-04-29 14:29,"영현무역, 코넥스시장 상장 신청",[ 박상재 기자  ] 한국거래소는 29일 영현무역이 코넥스시장 신규 상장 신청서를 제출했다고 밝혔다. 거래소는 약 2주간 상장심사를 거쳐 승인 여부를 결정할 예정이다. 영현무역은 봉제·의복 제조 업체로 지난해 매출 103억9700만원과 순이익 4억6100만원을 기록했다. 지정자문인은 KB투자증권이다. 박상재 한경닷컴 기자
파이낸셜뉴스,242850,/news/news_read.nhn?article_id=0003907485&office_id=014&mode=search&query=영현무역&page=1,2017-11-16 11:38,"[fnRASSI]영현무역, 14.66% 내리며 거래량 증가","영현무역(242850)의 현재 거래량이 최근 5거래일 거래량의 최고치를 경신했다. 그리고 현재 14.66% 내린 990원에 거래중이며 5일 연속 하락흐름을 보이고 있다. 외국인 보유량 변화 없음, 기관 증가 (5일 누적) 최근 5일간 동종목의 외국인 투자자는 0주 순매수하였고 마찬가지로 기관은 758주 순매수하였다. 전날 기관은 758주 순매수했지만 외국인은 순매수량이 0으로 보유비율 그대로 유지했다. 다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
파이낸셜뉴스,242850,/news/news_read.nhn?article_id=0003651242&office_id=014&mode=search&query=영현무역&page=1,2016-05-20 10:07,&lt;사진&gt;'영현무역' 코넥스 신규상장,"▲한국거래소 코스닥시장본부는 20일 오전 서울 여의도 사옥 홍보관에서 섬유도매 및 의류 제조업체인 영현무역의 코넥스시장 신규상장기념식을 개최했다. 임승원 한국IR협의회 부회장, 김재준 한국거래소 코스닥시장위원회 위원장, 이관묵 영현무역 대표이사, 김성현 KB투자증권 부사장, 김민용 코넥스협회 부회장(왼쪽부터)이 상장기념채 전달식 이후 기념촬영을 하고 있다.


 한국거래소 코스닥시장본부는 20일 오전 서울 여의도 사옥 홍보관에서 섬유도매 및 의류 제조업체인 영현무역의 코넥스시장 신규상장기념식을 개최했다. 임승원 한국IR협의회 부회장, 김재준 한국거래소 코스닥시장위원회 위원장, 이관묵 영현무역 대표이사, 김성현 KB투자증권 부사장, 김민용 코넥스협회 부회장(왼쪽부터)이 상장기념채 전달식 이후 기념촬영을 하고 있다."
파이낸셜뉴스,242850,/news/news_read.nhn?article_id=0004050569&office_id=014&mode=search&query=영현무역&page=1,2018-07-03 09:29,"[fnRASSI]영현무역, 14.78% 오르며 거래량 증가","영현무역은 투자자들의 관심으로 현재 거래량이 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 영현무역은 9일 연속 상승흐름을 보이며, 9시 20분 현재 14.78% 증가한 497원에 거래중이다. 외국인 보유량 변화 없음, 기관 감소 (5일 누적) 최근 5일간 동종목의 외국인 투자자는 0주 순매수하였고 반면 기관은 0주 순매도하였다. 전날 두 주체의 각각 순매수량은 0으로 보유비율이 그대로이다. 다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
