source,symbol,link,date,title,content
아시아경제,044380,/news/news_read.nhn?article_id=0003854333&office_id=277&mode=search&query=주연테크&page=1,2016-10-24 15:12,"주연테크, 국세청과 39억 규모 계약 체결",[아시아경제 김민영 기자]주연테크는 국세청과 39억원 규모의 개인용 컴퓨터 공급 계약을 체결했다고 24일 공시했다. 계약금액은 최근 매출액의 7.55%에 해당한다.
머니투데이,044380,/news/news_read.nhn?article_id=0004094775&office_id=008&mode=search&query=주연테크&page=1,2018-08-22 14:13,"주연테크, 상반기 영업손실 2억7000만원","[머니투데이 유엄식 기자] 주연테크는 올해 상반기 연결재무제표 기준 실적이 매출액 225억7510만원, 영업손실 2억7002만원, 당기순손실 4억8391만원으로 잠정 집계됐다고 22일 공시했다."
디지털타임스,044380,/news/news_read.nhn?article_id=0002462948&office_id=029&mode=search&query=주연테크&page=1,2018-05-10 11:22,"주연테크, 뷰소닉 4K HDR 프로젝터 `PX747-4K` 국내 출시","[디지털타임스 강해령 기자]주연테크가 지난해 11월 회사와 유통 계약을 체결한 미국 비주얼솔루션 기업 뷰소닉의 4K 하이다이내믹레인지(HDR) 프로젝터 'PX747-4K'(사진)를 국내 출시한다고 10일 밝혔다. 이 제품은 초고화질(UHD) 픽셀 해상도를 지원한다. 3500 안시루멘 밝기를 적용했다. HDR 콘텐츠를 지원하고, 60인치에서 최대 200인치까지 화면을 조정할 수 있으며 10와트 스피커가 내장돼 있다. 듀얼 HDMI 입력으로 게임 콘솔이나 블루레이 플레이어, 노트북, 디지털카메라 등을 기기와 연결할 수 있다. 램프 수명은 최대 1만5000시간이며, 리모컨 백라이트, 120% 오프셋 기능을 제공한다."
아시아경제,044380,/news/news_read.nhn?article_id=0003743726&office_id=277&mode=search&query=주연테크&page=1,2016-05-10 15:05,"주연테크, 60억 규모 CB발행 결정",[아시아경제 김민영 기자]주연테크는 60억원 규모의 1회차 무기명식 이권부 무보증 사모 전환사채를 발행키로 했다고 10일 공시했다. 표면이자율과 만기이자율은 각각 3.5%이다.
매일경제,044380,/news/news_read.nhn?article_id=0003728381&office_id=009&mode=search&query=주연테크&page=1,2016-05-09 17:35,[유가증권시장 공시] 삼부토건 / 동부제철 / 주연테크 등,"◇삼부토건=남우관광주식회사와 함께 보유 중인 서울 역삼동 토지와 건물을 6900억원에 매각. ◇동부제철=2000억원 규모의 제3자배정 방식의 유상증자 결정. ◇주연테크=110억원의 자금 조달을 위해 신주 1428만5711주를 제3자배정 유상증자. ◇효성ITX=현대카드와 1064억8000만원 규모 현대카드 고객센터 업무 도급 계약 체결. ◇삼화페인트공업=하나은행과 맺은 30억원 규모 자기주식취득 신탁계약 기간 만료돼 해지. r_start // r_end // [ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지] 매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.'미스서울 眞', 군살 없는 비키니 몸매에 '입이 쩍!'""미국, 최후단계 北공습 가능성…中에 사전 통보해야 오판 방지""이대호, 4타수 1안타 '타율 0.256'…팀은 패배(종합)히틀러 동상, 예상 뒤엎고 최고가 200억원에 낙찰""돕지는 못할망정""…中자살기도녀에 ""빨리 뛰어내려"""
이데일리,044380,/news/news_read.nhn?article_id=0004108757&office_id=018&mode=search&query=주연테크&page=1,2018-05-23 16:09,"주연테크, '리오나인 L7S-16H' 1주년 기념 프로모션","사진=주연테크 [이데일리 김정유 기자] 주연테크(044380)는 게임용 노트북 ‘리오나인 L7S-16H’ 론칭 1주년을 기념해 오는 31일까지 오픈마켓 11번가 구매고객에게 최대 20만원 상당의 혜택을 제공한다고 23일 밝혔다. 이번 프로모션은 오픈마켓 판매 1위까지 올랐던 리오나인 L7S-16H을 기념하기 위해 기획됐다. 기본 할인 5%, 국민·현대·롯데·농협카드 등 4종 카드로 결제시 최대 10만원까지 할인받을 수 있는 쿠폰, 기계식 키보드, 게이밍 마우스 등 10만원 상당의 경품이 제공된다. 리오나인 L7S-16H은 인텔 7세대 i7-7700HQ 프로세서와 엔비디아 지포스 GTX1060 VGA를 장착했으며 발열 제어를 위해 강력한 ‘트리플 쿨링 시스템’을 탑재해 게임 환경에 최적화된 모델이다. 허환석 주연테크 이사는 “지난 1년간 리오나인 L7S-16H 모델에 보여준 꾸준한 관심과 성원에 보답하고자 파격적인 할인 및 증정 이벤트를 준비했다”며 “앞으로도 게이밍 신제품 출시 및 다양한 프로모션으로 고객들에게 한 걸음 더 다가갈 예정”이라고 밝혔다."
이데일리,044380,/news/news_read.nhn?article_id=0004170325&office_id=018&mode=search&query=주연테크&page=1,2018-08-12 11:08,"주연테크, 게임용 모니터 대상 &lsquo;무결점 정책&rsquo; 도입","사진=주연테크 [이데일리 김정유 기자] 주연테크(044380)는 자사 게임용 모니터 ‘Q32CKR’, ‘Q32CKR퀀텀’ 등 2개 모델에 한해 무결점 정책을 도입한다고 12일 밝혔다. 이번 무결점 정책은 ‘광점’(핫픽셀·언제나 켜져 있어 흰색을 내는 픽셀)은 0개, ‘암점’(데드픽셀·언제나 꺼져 있어 검은색을 내는 픽셀)의 경우 1개까지를 기준으로 한다. 30일 이내 기준치 이상의 불량 화소 발견시 제품을 교환 가능하다. 주연테크의 모니터 무결점 정책은 우선 해당 2개 모델을 대상으로 실시되며 연내 게임용 모니터 전 제품에 대해 순차적으로 도입될 예정이다. 허환석 주연테크 유통영업본부 이사는 “패널 제조공정에서 아주 미세한 먼지에 의해서도 픽셀 불량이 발생될 수 있기에 A급 패널을 채택 적용하더라도 100% 완벽한 무결점을 보장하지 않는다”며 “중소기업 제품들을 대상으로 일명 ‘뽑기 운’을 기대할 수 밖에 없는 고객의 불안감을 해소하기 위해 제품 출고 전 2차 검수를 통해 완벽에 가까운 무결점 제품을 제공해드릴 수 있도록 노력하겠다”고 밝혔다."
머니투데이,044380,/news/news_read.nhn?article_id=0003536639&office_id=008&mode=search&query=주연테크&page=1,2015-09-03 15:13,"우리로, 주연테크 지분 20.2% 취득",[머니투데이 안재용 기자] 우리로는 컴퓨터 제조업체 주연테크의 주식 867만7047주를 104억9054만원에 취득키로 결정했다고 3일 공시했다. 이는 자기자본대비 45.4%에 해당하는 규모다. 주식 취득 후 우리로의 지분율은 20.2%다. textlinktopstart textlinktopend textlinkstart
머니투데이,044380,/news/news_read.nhn?article_id=0003676649&office_id=008&mode=search&query=주연테크&page=1,2016-05-09 17:22,"주연테크, 110억 유상증자 결정",[머니투데이 진달래 기자] 주연테크가 9일 운영자금 조달을 위해 110억원 규모의 제3자 배정 방식의 유상증자를 결정했다고 9일 공시했다. 신주 상장예정일은 오는 6월 17일이다. textlinktopstart textlinktopend textlinkstart
서울경제,044380,/news/news_read.nhn?article_id=0002827781&office_id=011&mode=search&query=주연테크&page=1,2016-05-10 16:01,"주연테크, 60억 사모 CB발행","주연테크(044380)는 10일 운영자금 60억원을 마련하기 위해 세종상호저축은행과 공평저축은행을 대상으로 제1회차 사모 전환사채(CB)를 발행키로 결정했다고 1밝혔다. 표면이자율과 만기이자율은 모두 3.5%며, 사채 만기일은 2019년 5월 12일까지다. 전환 청구기간은 내년 5월12일부터다."
