source,symbol,link,date,title,content
뉴시스,032640,/news/news_read.nhn?article_id=0008649808&office_id=003&mode=search&query=LG유플러스&page=26,2018-06-12 18:19,"LG유플러스, 월드컵 기간 '특별 상황실' 운영","월드컵 경기 기간, 통화품질 집중 모니터링주요 응원 지역에 이동기지국 운영할 계획 【서울=뉴시스】최선윤 기자 = LG유플러스는 월드컵 경기가 개최되는 6월14일부터 7월 중순까지 통화품질을 집중 모니터링하고 비상근무에 돌입하는 등 월드컵 기간에 이동통신 트래픽 수용을 위해 '특별 상황실'을 운영한다고 12일 밝혔다. LG유플러스는 트래픽 증가가 예상되는 서울시청 및 광화문 등 주요 길거리 응원지역에 3밴드 기술 및 4X4 다중안테나 기술을 적용하는 등 기지국 사전 증설 작업을 완료했다. 특히 첫 경기가 열리는 6월18일 서울시청 및 광화문, 코엑스 앞 영동대로 등 주요 응원 지역에 이동기지국을 운영할 계획이다. 월드컵 기간 동안 장애 시 즉각적인 복구가 가능하도록 주요 응원 지역에는 평상시 대비 2배 수준의 현장요원도 증원한다는 방침이다. LG유플러스는 ""월드컵 기간 증가하는 트래픽에 대비하기 위해 기지국 용량을 늘리고 상황실을 설치하는 등 고객이 통신서비스를 이용함에 있어 불편함이 없도록 만반의 준비를 완료했다""고 말했다."
뉴시스,032640,/news/news_read.nhn?article_id=0008606440&office_id=003&mode=search&query=LG유플러스&page=33,2018-05-20 20:42,故 구본무 회장 빈소 들어가는 이상철 전 LG유플러스 부회장,【서울=뉴시스】배훈식 기자 = 20일 오후 서울 종로구 서울대학교병원 장례식장에 마련된 故 구본무 LG 회장 빈소에 이상철 전 LG유플러스 부회장이 들어가고 있다. 2018.05.20.
이데일리,032640,/news/news_read.nhn?article_id=0004125445&office_id=018&mode=search&query=LG유플러스&page=26,2018-06-14 11:49,"코위버, LG유플러스와 60억원 규모 장비계약",[이데일리 이후섭 기자] 코위버(056360)는 LG유플러스와 60억원 규모의 PTN 장비 단가계약을 체결했다고 14일 공시했다. 이번 계약은 지난해 매출액의 11.0%에 해당하는 규모로 계약기간은 내년 5월 31일까지다.
연합뉴스,032640,/news/news_read.nhn?article_id=0010149625&office_id=001&mode=search&query=LG유플러스&page=26,2018-06-14 11:43,"코위버, LG유플러스와 60억원 장비 단가계약",(서울=연합뉴스) 김아람 기자 = 코위버는 LG유플러스와 2018년 패킷 전송망(PTN) 장비 단가계약을 체결했다고 14일 공시했다. 계약 금액은 60억원이다. 이는 최근 매출액의 11.0% 규모다.
뉴스1,032640,/news/news_read.nhn?article_id=0003421370&office_id=421&mode=search&query=LG유플러스&page=28,2018-06-11 10:32,LG유플러스 '카카오 리틀프렌즈폰 출시',"(서울=뉴스1) 이재명 기자 = 11일 오전 서울 용산구 LG유플러스 본사에서 모델들이 '카카오 리틀프렌즈폰'을 선보이고 있다. 카카오리틀프렌즈폰은 리틀 라이언, 리틀 무지 등 친숙한 카카오 캐릭터 8종을 배경·잠금화면, 아이콘 등에 적용한 어린이 휴대폰이다. 삼성전자 갤럭시 J3의 안드로이드 성능을 기반으로 실시간 위치조회, 유해 앱 사전 차당 기능 등을 제공한다. 2018.6.11/뉴스1"
파이낸셜뉴스,032640,/news/news_read.nhn?article_id=0004039324&office_id=014&mode=search&query=LG유플러스&page=26,2018-06-14 10:19,"LG유플러스, 'U+우리집IoT' 캠페인 유튜브 조회 2000만 돌파","LG유플러스가 유튜브에 올린 'U+ 우리집 IoT' 동영상이 14일 조횟수 2000만건을 돌파했다. 'U+ 우리집 IoT'는 여러개의 사물인터넷(IoT) 기기를 말 한마디로 동시에 켜고 끄는 사례를 보여주는 영상이다.       LG유플러스의 'U+우리집IoT' 캠페인이 화제를 모으고 있다.    영상은 침대에 누워 잠들기 전 불끄기를 서로 미루는 할머니, 할아버지 모습을 보던 손녀가 ""우리 잔다""라고 말하자 불이 꺼지고, 가습기가 켜지는 모습을 담은 '우리 잔다'편을 비롯해 총 7편으로 제작됐다. 가족 구성원이 각자 상황에 맞게 음성으로 제어하는 IoT 서비스 기능을 이해하기 쉽게 알려준다. 특히 'U+우리집IoT' 시리즈는 한편이 끝나면 다음편을 차례로 보여주는 유튜브의 동영상순차재생(VAS)툴을 이용해 시청자들이 지루하지 않게 영상을 볼 수 있도록 한 것이 특징이다. 그 결과 첫번째 편 영상을 본 시청자의 87%가 두번째 편의 영상을 이어봤다. LG유플러스는 'U+우리집IoT' 캠페인과 함께 오는 30일까지 홈IoT패키지 신규 가입고객 20명을 추첨해 LG전자의 건강관리가전 △코드제로 A9(5명) △트롬 건조기(5명) △트롬 스타일러스(5명) △퓨리케어 360 공기청정기(5명)를 주는 경품 이벤트를 진행한다. LG유플러스 조동우 IoT마케팅담당은 ""우리집IoT 캠페인을 통해 많은 고객이 IoT 서비스의 차별화된 가치를 느꼈으면 한다""며 ""앞으로도 일상생활 속 IoT 서비스의 편리함을 알릴 수 있는 다양한 캠페인을 지속 진행할 것""이라고 말했다."
머니S,032640,/news/news_read.nhn?article_id=0000316644&office_id=417&mode=search&query=LG유플러스&page=33,2018-05-14 14:51,"YBM넷, LG유플러스 AI 스피커 결합상품 출시",YBM넷이 LG유플러스와 손 잡고 영어 온라인강의와 ‘U+우리집AI’ 스피커를 묶은 패키지 상품을 선보인다고 14일 밝혔다. /사진=YBM넷 이에 문법·회화·어휘·청취·비즈니스 등 약 3000개 영어 인강을 6개월 동안 무제한으로 학습할 수 있는 ‘무한패스’ 과정과 LG유플러스의 ‘U+우리집AI’ 스피커를 묶어 판매한다. 또한 세계명작영어동화 23권을 추가해 구성한 패키지 상품도 마련했다. 이 패키지는 인공지능 스피커가 118개의 영어동화를 읽어줘 자녀의 영어 독서교육 용도로 활용할 수 있다.케임브리지(Cambridge) 교재 4종과 기초영어 교재 2종을 구매자 모두에게 무료로 증정한다.결합상품에 대한 자세한 내용은 YBM인강 홈페이지에서 확인할 수 있다. 강인귀 기자
뉴스1,032640,/news/news_read.nhn?article_id=0003421386&office_id=421&mode=search&query=LG유플러스&page=27,2018-06-11 10:34,LG 유플러스 '카카오 캐릭터 담긴 어린이 전용 스마트폰 출시',"(서울=뉴스1) 이재명 기자 = 11일 오전 서울 용산구 LG유플러스 본사에서 모델들이 '카카오 리틀프렌즈폰'을 선보이고 있다. 카카오리틀프렌즈폰은 리틀 라이언, 리틀 무지 등 친숙한 카카오 캐릭터 8종을 배경·잠금화면, 아이콘 등에 적용한 어린이 휴대폰이다. 삼성전자 갤럭시 J3의 안드로이드 성능을 기반으로 실시간 위치조회, 유해 앱 사전 차당 기능 등을 제공한다. 2018.6.11/뉴스1"
뉴스1,032640,/news/news_read.nhn?article_id=0003421369&office_id=421&mode=search&query=LG유플러스&page=27,2018-06-11 10:32,"LG유플러스 '어린이 휴대폰, 카카오리틀프렌즈폰 출시'","(서울=뉴스1) 이재명 기자 = 11일 오전 서울 용산구 LG유플러스 본사에서 모델들이 '카카오 리틀프렌즈폰'을 선보이고 있다. 카카오리틀프렌즈폰은 리틀 라이언, 리틀 무지 등 친숙한 카카오 캐릭터 8종을 배경·잠금화면, 아이콘 등에 적용한 어린이 휴대폰이다. 삼성전자 갤럭시 J3의 안드로이드 성능을 기반으로 실시간 위치조회, 유해 앱 사전 차당 기능 등을 제공한다. 2018.6.11/뉴스1"
뉴시스,032640,/news/news_read.nhn?article_id=0008606441&office_id=003&mode=search&query=LG유플러스&page=33,2018-05-20 20:42,故 구본무 LG 회장 빈소 찾은 이상철 전 LG유플러스 부회장,【서울=뉴시스】배훈식 기자 = 20일 오후 서울 종로구 서울대학교병원 장례식장에 마련된 故 구본무 LG 회장 빈소에 이상철 전 LG유플러스 부회장이 들어가고 있다. 2018.05.20.
뉴시스,032640,/news/news_read.nhn?article_id=0008645931&office_id=003&mode=search&query=LG유플러스&page=27,2018-06-11 10:34,"LG유플러스, 카카오 리틀프렌즈폰 출시","【서울=뉴시스】전진환 기자 = LG 유플러스가 카카오 리틀프렌즈폰을 출시, 11일 오전 서울 용산구 LG유플러스 본사에서 모델들이 제품을 소개하고 있다. 카카오리틀프렌즈폰은 카카오 캐릭터 8종을 배경, 잠금 하면, 아이콘, 케이스, 보호필름 등에 적용한 어린이용 휴대폰으로 실시간 위치조회, 유해 앱 사전 차단 기능 등을 제공한다. 2018.06.11."
