source,symbol,link,date,title,content
전자신문,149010,/news/news_read.nhn?article_id=0002458732&office_id=030&mode=search&query=아이케이세미콘&page=1,2016-03-09 14:48,"아이케이세미콘, 자동차용 반도체 앞세워 내년에 코스닥으로 간다","아이케이세미콘이 개발한 비메모리 반도체 코넥스시장 상장사인 아이케이세미콘이 자동차용 반도체를 앞세워 내년 코스닥시장 이전상장을 위한 준비를 시작했다. 2014년 11월 코넥스시장에 입성한 아이케이세미콘은 가전, 조명, 통신 등 다양한 분야 비메모리 반도체를 국산화해 국내 전자산업 발전에 기여해 왔다. 최근 자동차용 반도체 설계 전문 팹리스로 도약을 선언하며 전장용 IC 국산화에 앞장서고 있다. 자동차용 반도체는 제품 개발부터 인증까지 2~3년이 걸리고 다시 1~2년 차량 검증을 마쳐야 상용화가 가능한 까다로운 분야다. 우리나라는 세계 5대 자동차 강국에 속하지만 전장용 IC 대부분을 수입해 조립하는 수준에 머무르고 있다. 윤경덕 아이케이세미콘 대표는 “자동차는 사람이 타는 기구로 안전이 최우선이라 복잡한 과정을 거쳐 개발하고 검증을 거친다”며 “국내 비메모리업체는 시간에 쫓겨 대부분 자체 개발 대신 수입을 택하는 실정”이라고 말했다. 대다수 업체가 편한 길을 택한 반면에 아이케이세미콘은 고집스럽게 원천 설계기술을 확보하고 독창적 IC제품을 개발, 양산하고 있다. 또 동유럽에 위치한 벨라루스 수도 민스크에 디자인센터를 설립하고 반도체 회로 설계 경력자들로 구성된 연구원 조직도 운영하고 있다. 아이케이세미콘이 2014년 개발한 정전압 파워 주문형반도체(ASIC)는 국내 3대 완성차업체 가운데 한 곳인 GM코리아에 납품 중이다. 검증과정이 끝나면 글로벌 브랜드 공급도 예상된다. GM에 공급 중인 배터리 알터네이터(발전기)는 자동차 각 전기장치에 전력을 공급하는 장치다. 엔진에 의해 구동되며 고속회전 시 증가하는 전류를 조절하는 제어기능이 있다. 배터리 상태를 전달하는 통신기능을 갖췄으며 글로벌업체 보쉬 제품과 경쟁한다. 아이케이세미콘은 자동차용뿐만 아니라 오토바이용 알터네이터 조절장치를 개발해 중국·인도 등에 공급하는 방안도 구상 중이다. 최근 개발한 사이드미러를 접고 펴는 모터제어용 IC도 화제다. 일반적으로 사이드미러를 펴다 벽에 부딪히면 모터가 공회전하는 경우가 생기고 이로 인해 화제가 발생하기도 한다. 아이케이세미콘이 개발한 모테제어용 IC는 장애물이 생기면 자동으로 작동이 멈춰 사고 위험을 줄인다. 이 제품은 PCB 부품을 26개에서 9개로 줄이고 원칩으로 원가 경쟁력은 높였다. 현재 국내 최대 자동차업체 고급차종에 탑재해 검증과정을 거치고 있다. 윤 대표는 “연구개발에 따른 비용 소요가 많은 반면에 투자회수 기간이 오래 걸려 수차례의 위기를 맞기도 했었다”며 “하지만 다른 기업이 편안한 길을 걸으며 현실에 안주할 때 기업가정신으로 연구개발에 매진한 결과가 이제 결실을 맺고 있다”고 말했다. 아이케이세미콘이 개발한 비메모리 반도체 아이케이세미콘은 해외 판매 확대를 위해 마케팅을 강화하고 있으며 최근 인도시장 진출을 위해 현지에서 대규모 전장용 IC 세미나를 개최해 뜨거운 반응을 얻었다."
이데일리,149010,/news/news_read.nhn?article_id=0003797903&office_id=018&mode=search&query=아이케이세미콘&page=1,2017-04-12 16:33,"코넥스, 116개종목 거래&hellip;아이케이세미콘 거래대금 3위","[이데일리 박수익 기자]12일 코넥스시장에서는 139개 상장종목 중 119개 종목의 가격이 형성됐다. 가격은 형성됐으나 거래로 연결되진 않은 기세종목 3개를 제외하면 실제로는 116개 종목의 거래가 이뤄졌다. 이날 코넥스시장 총 거래대금은 전날보다 4억4000만원 증가한 13억8000만원. 거래량은 2만8000만주 늘어난 14만4000만주를 기록했다. 종목별 거래대금은 코넥스 시가총액 1위 툴젠이 7억4460만원으로 전체 시장 거래대금의 절반을 웃돌았다. 엔지켐생명과학이 1억4830만원으로 뒤를 이었고, 반도체설계전문회사 아이케이세미콘도 1억4130억원(거래량 5만19주)으로 3위를 차지해 눈길을 모았다. 한편 투자자별로는 기관이 4960만원 순매수. 개인은 1억1530만원 순매도했다."
아시아경제,149010,/news/news_read.nhn?article_id=0004014202&office_id=277&mode=search&query=아이케이세미콘&page=1,2017-06-14 16:49,"아이케이세미콘, 자사주 5만9000주 처분",[아시아경제 박미주 기자]아이케이세미콘이 시장 유동성 확보를 위해 15일 자사주 5만9000주를 장외 처분하기로 했다고 14일 공시했다.
