source,symbol,link,date,title,content
뉴시스,000270,/news/news_read.nhn?article_id=0008728723&office_id=003&mode=search&query=기아차&page=20,2018-07-27 09:59,"[1보]기아차, 2분기 영업익 3526억&hellip;전년比 12.7%&darr;","【서울=뉴시스】한주홍 기자 = 기아자동차는 올해 2분기(4~6월) 영업이익이 지난해 같은 기간 대비 12.7% 감소한 3526억원을 기록했다고 27일 공시했다. 같은 기간 매출액은 전년 대비 3.5% 오른 14조 601억원, 당기순이익은 14.8% 떨어진 3318억원을 나타냈다."
머니투데이,000270,/news/news_read.nhn?article_id=0004084047&office_id=008&mode=search&query=기아차&page=20,2018-07-27 10:03,기아차 2분기 영업익 3526억...전년비 12.7% 감소,"[머니투데이 장시복 기자] 기아차는 올 2분기 매출이 지난해 같은 기간에 비해 3.5% 증가한 14조 601억원을 달성했으나, 영업이익은 12.7% 줄어든 3526억원이었다고 밝혔다."
파이낸셜뉴스,000270,/news/news_read.nhn?article_id=0004039274&office_id=014&mode=search&query=기아차&page=42,2018-06-14 09:47,기아차 그랜드 카니발 21만여대 화재발생 가능성으로 대거 리콜조치,기아자동차 그랜드 카니발 21만여대가 에어컨 장치 배수불량으로 인한 화재발생 가능성 등으로 대거 리콜조치된다. 국토교통부는 기아차 등 4개 업체에서 제작 또는 수입 판매한 자동차 11개 차종 21만3322대에서 제작결함이 발견돼 자발적으로 시정조치(리콜)한다고 14일 밝혔다. 기아차에서 제작 판매한 그랜드 카니발(VQ) 21만2186대는 에어컨 배수 결함으로 에어컨에서 발생한 수분이 차량 내부의 전기장치(릴레이박스)로 떨어져 전기적 쇼트가 발생하고 이로인해 화재 발생 가능성이 확인됐다. 이번 리콜은 서울소방재난본부가 최근 2년동안 서울 관내에서 발생한 그랜드 카니발 차량의 화재 사례 중 발화 특이점이 확인된 10여건을 제작결함 조사기관에 제공해 두 기관이 합동조사 등을 통해 결함사실을 밝혀냈다. 해당 차량은 6월14일부터 기자자동차 서비스센터에서 무상으로 수리받을 수 있다. 국토부는 또 메르세데스 벤츠코리아에서 수입 판매한 E 220d 쿠페 등 7개 차동 825대는 좌석 등받이 고정 결함으로 사고 발생시 탑승자를 다치게 할 가능성이 확인됐다. 해당 차량은 메르세데스 벤츠코리아 서비스센터에서 무상으로 수리받을 수 있다. 한국지엠에서 수입 판매한 G2X 184대는 동승자석 승객감지센서의 결함으로 충돌시 에어백이 전개되지 않아 탑승자를 보호하지 못할 가능성이 확인됐다. 해당 차량은 6월15일부터 한국지엠 서비스센터에서 무상으로 수리받을 수 있다. 또 다임러트럭코리아에서 수입 판매한 Arocs 등 2개 차종 127대는 전조등에 제작사가 표기되지 않은 라벨을 부착해 자동차 안전기준을 위반했으며 국토부는 다임러트럭코리아에 해당 자동차 매출액의 100분의 1에 해당하는 과징금을 부과한다. 해당 자동차는 다임러트럭코리아 서비스센터에서 무상으로 수리받을 수 있다.       그랜드 카니발
아시아경제,000270,/news/news_read.nhn?article_id=0004299049&office_id=277&mode=search&query=기아차&page=7,2018-08-21 08:50,"기아차, '올 뉴 K3' 무료 시승 이벤트 재실시","[아시아경제 우수연 기자] 기아자동차가 국내 대표 카셰어링 기업 ‘그린카’와 함께 ‘올 뉴 K3’ 무료 시승 이벤트를 다시 실시한다고 21일 밝혔다. 기아차는 지난 6월 고객들이 올 뉴 K3의 뛰어난 연비와 우수한 상품성을 여행하듯 편안하게 체험하라는 취지로 올 뉴 K3 무료 시승 이벤트 ‘트립 투 K3’를 실시한 바 있다. 이번 시승 이벤트는 고객들의 뜨거운 반응을 이끌어냈던 ‘트립 투 K3’를 재실시한다는 점에서 ‘트립 투 K3 리턴즈’로 이름 붙여졌으며, 수도권 및 제주도를 포함한 전국 주요 도시의 그린카 시승존에서 진행된다. 누구나 참여 가능한 이번 이벤트는 8월 20일(월)부터 31일(금) 사이 그린카 애플리케이션 또는 홈페이지에서 회원으로 가입한 뒤, 올 뉴 K3 이벤트 퀴즈에 정답 댓글을 작성해 응모할 수 있다. 퀴즈 정답자 전원에게는 3시간 이용권이 지급되며 추첨을 통해 10명에게는 24시간 이용권이 추가로 지급된다. 기아차 관계자는 “막바지 휴가를 떠나는 고객들께서 올 뉴 K3를 시승하며 편안한 시간을 보내시라는 의미로 시승 이벤트를 재실시하게 됐다”며 “이번 이벤트를 통해 압도적인 연비와 우수한 상품성을 갖춘 준중형 최강자 올 뉴 K3를 직접 체험해보시길 바란다”고 말했다."
뉴시스,000270,/news/news_read.nhn?article_id=0008728724&office_id=003&mode=search&query=기아차&page=20,2018-07-27 09:59,"[2보]기아차, 올 상반기 영업익 6582억&hellip;전년比 16.3%&darr;","【서울=뉴시스】한주홍 기자 = 기아자동차는 올해 상반기(1~6월) 영업이익이 지난해 같은 기간 대비 16.3% 감소한 6582억원을 기록했다고 27일 공시했다. 같은 기간 매출액은 전년 대비 0.8% 오른 26조 6223억원, 당기순이익은 33.9% 떨어진 7638억원을 각각 나타냈다."
이데일리,000270,/news/news_read.nhn?article_id=0004185415&office_id=018&mode=search&query=기아차&page=3,2018-08-30 11:34,현대&middot;기아차에 AI 비서 '카카오미니' 탑승한다,"국내 자동차 최초 지능형 음성인식 비서 서비스 적용 [이데일리 피용익 기자] 현대·기아자동차가 카카오와 손잡고 커넥티드카 서비스를 선보인다. 현대·기아차와 카카오는 인공지능(AI) 플랫폼 ‘카카오 아이’의 음성인식 기술을 활용한 인공지능 스피커 ‘카카오미니’ 기능을 내년 이후 현대차(005380)와 기아차(000270)에 탑재하는 것을 목표로 공동 개발 프로젝트를 시작했다고 30일 밝혔다. 이 기술이 양산차에 적용되면 차량 내 인포테인먼트 시스템을 활용한 음성인식 비서 서비스를 국내 최초로 선보이는 것이다. 현대·기아차와 카카오(035720)의 이번 협력은 완성차와 종합 정보기술(IT) 서비스 업체와의 강력한 결합 사례로, 미래 혁신 기술을 선도해 미래 커넥티드카 시장을 선점하겠다는 양사의 의지가 반영됐다. 양사가 공동개발하기로 한 차량용 지능형 음성인식 서비스는 최근 정보통신기술(ICT) 업체 간 개발 경쟁이 뜨겁게 달아오르고 있는 스마트 스피커가 차량에 최적화돼 적용되는 기술이다. 카카오가 출시한 AI 스피커 카카오미니에서 서비스되는 다양한 콘텐츠들을 차량 내에서도 동일하게 대화하듯 이용할 수 있다. 현재 카카오미니는 뉴스, 주식, 환율, 운세 등의 생활 정보형 콘텐츠들과 음악 및 카카오톡, 스포츠 정보, 동화 읽어주기, 음식주문 서비스 등을 제공하고 있다. 현대·기아차와 카카오는 차량 안전운행을 방해하지 않는 콘텐츠들을 2019년 출시될 신차에 우선적으로 적용한 뒤 단계적으로 서비스를 확대할 방침이다. 카카오미니에서 제공하는 서비스 외에도 양사는 인포테인먼트 시스템 및 공조 제어 등 차량의 각종 편의장비들을 음성으로 제어하는 기능도 구현해 운전자 편의를 극대화할 계획이다. 예를 들어 스티어링휠에 위치한 음성인식 버튼을 누른 뒤 ‘음악(멜론) 틀어줘’, ‘카톡 읽어줘’, ‘차량 온도 21도로 맞춰줘’ 등의 다양한 음성 명령을 차량에 내릴 수 있게 된다. 현대·기아차는 전문적인 차량 사용자 경험(UX) 기술을 기반으로 지능형 음성인식 서비스를 검증하고 고도화할 계획이며, 시끄러운 소음 하에서도 사람의 음성만을 추출해 내는 기술을 적용해 정확한 커뮤니케이션을 가능케 할 계획이다. 양사는 지능형 음성인식 서비스에 이어 획기적인 커넥티드카 서비스 개발에도 뜻을 같이 하기로 했다. 현대·기아차의 커넥티드 시스템 기반 위에 카카오의 다양한 콘텐츠와 서비스를 연동해 운전자 맞춤형 서비스를 개발하는 등 다각적 협력을 이어간다는 방침이다. 추교웅 현대·기아차 인포테인먼트개발실 이사는 “카카오와의 강력한 동맹으로 미래 자동차 핵심 경쟁력으로 손꼽히는 커넥티드 카 서비스에 대한 선제적 대응체계를 구축할 수 있게 됐다”며 “앞으로 소비자들의 기대를 뛰어넘는 혁신적인 서비스 개발을 위해 연구개발 역량을 집중할 것”이라고 말했다. 김병학 카카오 AI Lab 총괄 부사장은 “자동차는 카카오가 AI 기술로 편리함을 만들어내고자 집중하는 공간”이라며 “양사가 긴밀히 협력해 자동차에서 일상의 혁신을 경험할 수 있도록 노력할 것”이라고 설명했다. 한편 현대·기아차는 카카오와의 협력을 중심으로 다양한 ICT 업체들과의 협력을 확대해 미래차 개발 역량을 강화한다는 전략이다. 중국 내 커넥티드카 기술을 선도하기 위해 중국 최대 인터넷 기업 바이두와 ‘카라이프’, ‘맵오토’ 같은 신기능을 지속적으로 공동 개발하고 있으며, 지난 7월에는 차량용 AI 로봇을 공개한 바 있다. 현대·기아차 연구원들이 남양연구소에서 지능형 음성인식 비서 서비스 기술을 개발하고 있다. (사진=현대·기아자동차)"
머니투데이,000270,/news/news_read.nhn?article_id=0004059447&office_id=008&mode=search&query=기아차&page=49,2018-06-01 11:14,"현대&middot;기아차, &lsquo;2018 FIFA 러시아 월드컵&rsquo; 공식차량 전달","[머니투데이 황시영 기자] [싼타페, 투싼, 스타렉스, K9, 쏘렌토, 씨드 등 공식차량 954대 지원] 현대·기아차가 5월 31일(현지시간) 러시아 모스크바 루즈니키 경기장에서 '2018 FIFA 러시아 월드컵' 공식차량 전달식을 가졌다. 왼쪽부터 2018 FIFA 러시아 월드컵 공식 마스코트 자비바카(Zabivaka), 알렉세이 칼리체프 현대차 러시아 법인 임원, 오익균 현대차 러시아 법인장, 제이 노이하우스 FIFA 마케팅 담당 임원, 알렉세이 소로킨 대회 조직위원회(LOC) 위원장, 네마냐 비디치 FIFA 홍보대사, 정원정 기아차 러시아 법인장, 발레리 타라카노프 기아차 러시아 법인 마케팅 임원이 기념촬영을 하고 있다./사진제공=현대·기아차 국제축구연맹(FIFA) 공식 후원사인 현대·기아차가 러시아에서 개최되는 ‘2018 FIFA 러시아 월드컵’에 공식 차량을 지원한다고 1일 밝혔다. 현대·기아차는 5월 31일(현지시각) ‘2018 FIFA 러시아 월드컵(2018 FIFA World Cup Russia™)’ 주경기장인 모스크바 루즈니키 경기장에서 오익균 현대차 러시아 법인장, 정원정 기아차 러시아 법인장 등 현대∙기아차 관계자를 비롯해 제이 노이하우스 FIFA 마케팅 담당 임원, 알렉세이 소로킨 대회 조직위원회(LOC) 위원장 등 대회 관계자 및 현지 기자단이 참석한 가운데 대회 공식 차량을 대회 조직위원회에 전달했다. 차량 전달식 현장에는 FIFA 홍보대사이자 맨체스터 유나이티드와 세르비아 국가대표팀에서 활약했던 네마냐 비디치 선수가 참석해 자리를 빛냈다. 현대차는 이번 전달식을 통해 싼타페, 투싼, 스타렉스, 러시아 현지 전략차종 쏠라리스 등 530대, 기아차는 K9, 쏘렌토, 스포티지, 유럽 현지 전략차종 씨드 등 424대, 총 954대를 월드컵 대회 준비 및 운영을 위해 제공할 예정이다. 현대차는 1999년부터 FIFA 공식 후원사로 20년째 함께 하고 있으며 기아자동차도 2007년부터 FIFA 공동 후원사로 활동하고 있다. 또한 현대자동차는 이날 차량 전달식에서 러시아 월드컵 참가 32개국 국가대표팀 승리 기원 슬로건 공모전인 ‘Be There With Hyundai’를 통해 응모된 16만건의 슬로건 중 344만건이 넘는 투표를 통해 선정된 최종 슬로건이 부착된 각국 국가대표팀 이동용 팀 버스를 최초로 공개했다. 대한민국을 비롯한 32개국 국가대표팀 버스는 월드컵 기간 동안 자국의 승리와 선전을 열망하는 각각의 슬로건을 부착하고 러시아 곳곳을 누빌 예정이다. 기아자동차는 경기의 공인구 전달 임무를 맡은 28개국 총 64명 어린이들의 ‘공인구 전달 어린이 선발 캠페인(Official Match Ball Carrier)’ 발대식을 진행했으며, 이들은 매 경기마다 심판과 함께 등장하여 경기의 포문을 여는 역할을 수행할 예정이다. 특히 ‘공인구 전달 어린이 선발 캠페인’은 인도에서 ‘Be the First Indian Official Match Ball Carrier’라는 슬로건으로 진행되어 6주만에 1.5억회 이상의 조회수를 기록하는 등 많은 사람들의 관심을 끌었다. 이밖에 현대차는 △전세계 축구팬 대상 32개국 국가대표팀을 향한 응원 구호를 공모하는 경기별 대규모 디지털 국가대항 응원전 ‘현대 치어링 스타디움’ △‘Be There With Hyundai’의 32개국 우승자들을 러시아로 초청해 경기 당일, 자국 대표팀 버스에 동승해 경기장 안으로 함께 이동하는 ‘콘보이 차량 탑승 체험 이벤트’ △50여개국에서 진행된 월드컵 글로벌 시승회 ‘포춘 드라이브 투 러시아’ 참가 고객 러시아 초청 등 다양한 월드컵 마케팅 활동을 펼칠 예정이다. 기아차는 △디지털 시승 플랫폼인 ‘핸즈온’ 등 국가별 시승회를 통해 30개국에서 선발된 60명의 고객을 러시아로 초청하는 ‘기아 럭키 드라이브 투 러시아’ △16개국 지역 예선을 통해 선발된 아마추어 축구 선수들이 참가하는 5인 축구 대회 ‘기아 챔프’ △대회기간 동안 직접 월드컵 축제의 현장 속으로 들어가 놀라움을 만드는 주인공이 된다는 테마의 ‘겟 인투 더 게임’ 캠페인 등 이벤트를 진행할 계획이다."
아시아경제,000270,/news/news_read.nhn?article_id=0004300463&office_id=277&mode=search&query=기아차&page=6,2018-08-22 16:35,"기아차, 2018년 임단협 잠정합의...'기본급 4만5000원 인상'","기아차 노사 [아시아경제 이정민 기자] 기아자동차 노사가 22일 2018년 임금 및 단체협약 9차 본교섭에서 잠정합의안을 도출했다. 이날 기아차 소하리공장 본관 1층 대회의실에서 열린 9차 교섭에서 노사는 ▲기본급 4만5000원 인상(정기 호봉승급 포함) ▲성과 및 격려금 250% + 280만원 ▲재래시장 상품권 20만원 지급에 합의했다. 노사간 주요쟁점이었던 상여금의 통상임금 산입 요구는 논의 의제와 시한이 구체화된 ‘특별위원회’를 구성해 내년 4월 1일까지 합리적인 임금제도 개선을 포함한 해결방안을 마련하기로 합의했다. 아울러 노사는 협력사의 글로벌 경쟁력을 키우고 경영안정화를 통한 지속성장 기반 강화를 목표로 하는 ‘자동차 산업 동반성장 및 상생협력을 위한 별도합의’를 이끌어 냄으로써 대기업과 협력사의 동반성장에도 힘을 쏟기로 했다. 지난 6월21일 상견례 이후 2개월이라는 짧은 기간 동안 집중교섭을 벌인 결과 기아자동차 신임 대표이사인 최준영 부사장과 강상호 노조 지부장 등 노사 교섭대표는 최종 합의안을 이끌어내는데 성공했다. 기아차 관계자는 ""노사가 대내외 경영환경에 대한 심각성을 인식하고 경영실적에 연동된 임금인상 및 성과 일시금 수준에서 합의점을 찾았다""고 말했다. 잠정합의안에 대한 조합원 찬반투표는 오는 27일 실시될 예정이다"
뉴시스,000270,/news/news_read.nhn?article_id=0008700420&office_id=003&mode=search&query=기아차&page=32,2018-07-11 16:51,관람객 발길 사로 잡는 기아차 '니로EV',【광주=뉴시스】이창우 기자 = 11일 광주 김대중컨벤션센터에서 개막한 '제10회 국제기후환경산업전(ICEF)'을 찾은 관람객들이 기아자동차 전시 부스에서 신개념 고성능 스마트 전기자동차 '니로EV'에 대해 설명을 듣고 있다. 2018.07.11. (사진=기아자동차 제공)
헤럴드경제,000270,/news/news_read.nhn?article_id=0001422809&office_id=016&mode=search&query=기아차&page=21,2018-07-27 08:53,"기아차, &lsquo;스포티지 더 볼드&rsquo; 시승ㆍ차박캠핑 이벤트","- 7박8일 무료 시승ㆍ1박 2일 캠핑 결합…내달 24일까지 참가 희망 응모 [헤럴드경제=이정환 기자]기아자동차는 ‘스포티지 더 볼드’ 출시를 기념해 7박 8일간의 무료 시승과 1박 2일간의 캠핑이 결합된 이색 행사 ‘스포티지 더 볼드와 함께 하는 시승 및 차박캠핑 이벤트’를 실시한다고 27일 밝혔다. 이벤트에서 기아차는 총 25명의 고객을 선정해 스포티지 더 볼드 무료 시승 기회를 제공하고, 9월 1일부터 2일까지 충주호 캠핑월드에서 차박캠핑을 진행한다. ‘차에서 숙박하는 캠핑’을 뜻하는 ‘차박캠핑’은 자동차와 주차 공간만 확보되면 누구나 쉽게 캠핑을 즐길 수 있어 최근 각광받고 있는 캠핑의 형태로, 기아차는 고객들을 위해 차박용 텐트와 장비, 먹거리 및 다양한 프로그램을 제공한다. 기아차 관계자는 “그동안 스포티지에 보내주신 고객들의 성원에 보답하고자 여름철에 어울리는 이색 이벤트를 마련했다”며 “지난 1993년 최초 출시 이후 25년간 고객과 함께 해 온 국내 최장수 SUV 스포티지처럼 캠핑을 통해 오랜 인연과 특별한 추억을 쌓고 싶은 고객들의 많은 참여를 기다린다”고 말했다. 이번 이벤트에 참가하고 싶은 고객은 오는 8월 24일까지 기아차 홈페이지 해당 이벤트 페이지에 응모하면 된다. 8월 28일 홈페이지 게시 및 개별 통보를 통해 당첨자를 안내할 예정이다."
