source,symbol,link,date,title,content
부산일보,178600,/news/news_read.nhn?article_id=0000814440&office_id=082&mode=search&query=대동고려삼&page=1,2018-06-20 11:33,'부담 없이 즐겨요' 홍삼 업계는 변신 중&hellip;대동고려삼 外,"최근 스타일을 변형시켜 여러 상품 군을 오가는 ‘크로스오버’ 제품이 뜨는 가운데, 전통식품의 대표주자인 홍삼 역시 무한 변신을 시도하고 있다. 홍삼 전문 업체인 대동고려삼은 홍삼을 밥과 함께 지어먹을 수 있도록 개발한 ‘홍삼담은 한끼’를 출시해 화제를 모으고 있다. 대동고려삼의 ‘홍삼담은 한끼’는 맥반석 건조 시스템에서 건조한 최상급의 국내산 6년근 홍삼만을 선별 조분쇄(쌀알크기) 하여 간편하게 1포씩 스틱 포장한 제품이다. 대동고려삼 관계자는 “홍삼 고유의 쓴맛을 싫어하는 어른들은 물론, 어린이들도 거부감 없이 홍삼을 섭취할 수 있는 신제품”이라며 “앞으로도 젊은 층이 가볍게 즐길 수 있는 홍삼 제품들을 다양하게 선보일 계획이다”고 말했다. 전체식 홍삼 브랜드인 참다한홍삼은 요리연구가 서정옥 씨와의 콜라보레이션을 통해 ‘홍삼 식혜’를 선보였다. 참다한의 홍삼식혜는 최상급 이천 쌀과 국내산 엿기름을 사용해 전통 방식으로 제조한 식혜에  100% 국내산 홍삼 분말을 첨가해 맛과 영양을 모두 잡았다. 또한 색소, 방부제, 인공향을 첨가하지 않은 무첨가 제품으로, 식혜의 달큰함과 홍삼 고유의 씁쓸한 향이 맞물려 고급스럽고 깔끔한 맛을 느낄 수 있다. 참다한홍삼 관계자는 “남녀노소 좋아하는 식혜와 몸에 좋은 홍삼이 만났다”며 “요즘 건강을 위해 가정에서 직접 식혜를 만드는 경우가 많은데, 전통방식으로 만든 참다한홍삼의 ‘홍삼 식혜’로 맛과 건강 두 마리 토끼를 모두 잡아보시길 바란다”고 말했다."
뉴스1,178600,/news/news_read.nhn?article_id=0002811219&office_id=421&mode=search&query=대동고려삼&page=1,2017-06-28 17:19,"대동고려삼, 흑삼 브랜드 &lsquo;진쎈&rsquo; 통해 태권도 꿈나무 전현식 선수 후원","© News1 (서울=뉴스1) 노수민 기자 = 대동고려삼㈜은 자사의 흑삼 브랜드 ‘진쎈’을 통해 태권도 꿈나무 전현식 선수를 후원하고 있다고 밝혔다. 충청권 지역 태권도 선수 육성을 위한 이번 후원을 통해 전현식(용성중 3학년) 군은 대동고려삼의 대표 프리미엄 흑삼브랜드인 ‘진쎈’의 다양한 흑삼제품을 지원 받았다. 전현식군은 초등학교 1학년 때부터 청주 용성태권도장에서 지금까지 수련하면서 전국 품새 대회에서 20회 이상의 우승과 입상의 실력으로 유명세를 떨치고 있다. 현재 최근에는 세계 태권도 품새 선수권 대회 국가대표 선발전과, 아시아 청소년 태권도 품새 국가대표 선발전을 앞두고 있다. 이에 대동고려삼㈜ 측은 최고의 기량을 보여줄 수 있도록 후원을 결정했다. 최성근 대동고려삼㈜ 대표는 “대한민국 대표 특산물인 인삼을 제조하는 대동고려삼이 대한민국을 대표하는 문화상품인 태권도 품새 꿈나무 육성을 위해 아낌없이 지원하게 된 것을 기쁘게 생각한다. 국가를 대표하는 훌륭한 선수가 될 때까지 계속해서 후원하겠다”고 지속적인 지원을 약속했다. 전현식 군은 “앞으로 다가올 전국대회와 국가대표 선발전에서 우승을 차지해 응원하고 후원해준 대동고려삼㈜ 최성근 대표와 가족들에게 꼭 보답하겠다. 아울러 대동고려삼의 다양한 제품의 홍보에도 함께 하겠다”고 말했다. 한편, 대동고려삼㈜ 최성근 대표는 지역 스포츠 꿈나무들을 발굴해 지금까지 많은 학생들에게 흑삼 브랜드 진쎈과 함께 후원금을 지원한 바 있다."
머니투데이,178600,/news/news_read.nhn?article_id=0003702717&office_id=008&mode=search&query=대동고려삼&page=1,2016-06-28 16:13,"대동고려삼, 25억 규모 전환사채권 발행 결정",[머니투데이 최민지 기자] 대동고려삼은 운영자금 조달을 위해 25억원 규모의 기명식무보증사모전환사채를 발행하기로 결정했다고 28일 공시했다. 만기이자율은 6%이며 만기일은 2020년 6월 29일까지다. 발행대상은 Eco-MGI 6차산업전문투자조합 외 5명이다. textlinktopstart textlinktopend textlinkstart
부산일보,178600,/news/news_read.nhn?article_id=0000815712&office_id=082&mode=search&query=대동고려삼&page=1,2018-06-25 17:44,"'건강식품, 더 싸게 사세요'&hellip;대동고려삼 할인 이벤트 外","본격적인 여름 시즌을 앞두고 유통가에서 다양한 할인행사가 펼쳐지고 있다. 대동고려삼㈜은 공식쇼핑몰 `더함몰`에서 7월 2일부터 31일까지 특별 할인을 진행한다. 대동고려삼은 행사 기간 중 홍삼 농축액 분말인 행복 홍삼액을 정상가보다 40~50% 저렴하게 판매할 예정이다. 또한 초복과 중복을 대비해 불로건 홍삼 농축액 플러스, 더함 건강홍삼정, 진쎈 흑삼력 등 3종을 할인하며, 구매 금액에 따른 사은품 증정 행사도 진행한다. 전통건강식품 브랜드인 '더작'은 건강청ㆍ건강즙 30% 할인 프로모션에 돌입했다. 더작은 이번 이벤트 기간 중 ▲유기농 오미자청 ▲유기농 복분자청 ▲유기농 도라지청 ▲유기농 배즙 ▲사과즙 등 5종에 대하여 할인을 실시하며, 이벤트는 오는 7월22일까지 계속된다. 더작의 건강청과 건강즙은 유기농 원료를 통째로 갈아 넣는 ‘전체식’ 제조법을 사용한 것이 특징으로, 물에 달이거나 착즙한 제품보다 월등히 많은 유효성분을 함유하고 있다. 더작은 또한 원료를 통째 갈 때 초미세분말 기술을 사용해 인체 흡수율도 매우 높은 것으로 알려졌다."
부산일보,178600,/news/news_read.nhn?article_id=0000815726&office_id=082&mode=search&query=대동고려삼&page=1,2018-06-25 18:15,"혼밥족 위한 프리미엄 건강식 &lsquo;눈길&rsquo;, 대동고려삼 外","밥도 술도 혼자 해결하는 ‘혼족’이 늘고 있지만, 대다수가 편의점이나 패스트푸드점에서 대충 한 끼를 해결하는 경우가 많다. 이에 ‘혼밥족’에게도 충분한 영양을 공급할 프리미엄 건강식 제품 몇 가지를 소개해본다. ◆ 대동고려삼, 밥에 넣어 먹는 홍삼 출시 홍삼 전문 업체인 대동고려삼은 홍삼을 밥과 함께 지어먹을 수 있도록 개발한 ‘홍삼담은 한끼’를 출시했다. 대동고려삼의 ‘홍삼담은 한끼’는 맥반석 건조 시스템에서 건조한 최상급의 국내산 6년근 홍삼만을 선별 조분쇄(쌀알크기) 하여 간편하게 1포씩 스틱 포장한 제품이다. 대동고려삼 관계자는 “홍삼 고유의 쓴맛을 싫어하는 어른들은 물론, 어린이들도 거부감 없이 홍삼을 섭취할 수 있는 신제품”이라며 “앞으로도 젊은 층이 가볍게 즐길 수 있는 홍삼 제품들을 다양하게 선보일 계획이다”고 말했다. ◆ 청정원 ‘휘슬링쿡 사천식 고추잡채’ 중국 요리전문점에서나 즐길 수 있는 고추잡채 요리를 집에서도 간편하게 먹을 수 있다. 청정원의 휘슬링쿡 사천식 고추잡채는 돼지고기와 피망, 버섯, 죽순 등 6가지의 야채를 넣어 두반장으로 매콤하게 볶아냈다. 시중에서 쉽게 구할 수 있는 화권(꽃빵)과 곁들여 먹거나 고추잡채를 밥 위에 얹어 잡채덮밥으로 먹으면 안성맞춤이다. 혼술을 부르는 매콤한 맛이 특징이다. ◆ 사조해표 ‘연어레시피 스테이크’ 풍부한 오메가-3 지방산, 항산화 물질 등 세계 10대 슈퍼푸드로 잘 알려진 건강한 연어를 스테이크로 즐길 수 있다. 사조해표의 연어레시피 스테이크는 맛있는 알래스카산 통살 연어에 스테이크의 풍미를 더하는 레시피 소스가 특징이다. 국내업계 최초의 상온 연어 스테이크로 전자레인지 1분이면 완성돼 혼밥족도 부담 없이 즐길 수 있다. 이탈리안 토마토 소스와 허브 딜 소스 2종으로 출시돼 있어 취향에 맞게 골라 먹을 수 있다."
머니투데이,178600,/news/news_read.nhn?article_id=0003896239&office_id=008&mode=search&query=대동고려삼&page=1,2017-06-29 16:45,"대동고려삼 흑삼 브랜드 진쎈, 지역 태권도 꿈나무 후원","[머니투데이 중기&창업팀 고문순 기자] 지역을 대표하는 스포츠 꿈나무의 육성 및 지원을 아끼지 않는 대동고려삼(주)이 이번에는 충청권 지역 태권도 품새 및 시범 선수 육성을 위해 후원의 자리를 만들었다고 29일 밝혔다. 사진제공=대동고려삼 그 주인공은 현 충청권 지역에서 전국대회 우승과 품새 국가대표 선발전을 앞두고 있는 전현식(용성중 3학년) 군이다. 전현식 군은 초등학교 1학년 때부터 청주 용성태권도장에서 지금까지 수련하면서 전국 품새 대회에서 20회 이상의 우승과 입상의 실력을 가지고 있는 최고의 선수로 알려져 있다. 최근에는 세계태권도품새선수권대회 국가대표 선발전과 아시아청소년태권도품새 국가대표 선발전에 충청도를 대표해 출전하는 등 최고의 기량을 보여주고 있다. 대동고려삼(주) 최성근 대표는 지역의 스포츠 꿈나무들을 발굴, 지금까지 많은 학생들에게 대동고려삼(주)의 대표 프리미엄 흑삼 브랜드 ‘진쎈’과 함께 후원금을 지원하며 많은 스포츠 인재를 육성하는데 물심양면으로 노력하고 있다. 최 대표는 “대한민국 대표 특산물인 인삼을 제조하는 대동고려삼이 대한민국을 대표하는 문화상품인 태권도 품새 꿈나무 육성을 위해 아낌없이 지원하게 된 것을 기쁘게 생각한다”며 “국가를 대표하는 훌륭한 선수가 될 때까지 계속해서 후원을 할 수 있도록 할 것”이라고 전했다. 이날 전현식 군은 “앞으로 다가올 전국대회와 국가대표 선발전에서 꼭 우승해 저를 응원하고 후원해주신 최성근 대표님과 가족들에게 꼭 보답하고 감사인사를 전하고 싶다”고 말했다. 한편 이날 후원식에서는 대동고려삼의 대표 프리미엄 흑삼브랜드인 ‘진쎈’의 여러가지 흑삼제품이 전현식 선수에게 전달되었으며 전 선수는 향후 품질 좋은 대동고려삼의 다양한 제품 홍보에도 함께 하겠다는 뜻을 밝혔다. textlinktopstart textlinktopend textlinkstart"
디지털타임스,178600,/news/news_read.nhn?article_id=0002469182&office_id=029&mode=search&query=대동고려삼&page=1,2018-06-20 16:14,"대동고려삼, 공식쇼핑몰 `더함몰` 여름맞이 기획전 실시","대동고려삼(주)은 지치기 쉬운 여름철 무더위를 맞아 7월 2일부터 31일까지 한 달여간 휴가철 기획전을 선보인다고 밝혔다. 해당 브랜드는 MP, GAP, HACCP 인증을 받은 홍삼제품 제조&가공 전문기업으로 안정적 원료삼(홍삼, 백삼, 택극삼, 흑삼)을 확보했다. 홍삼 농축액 분말인 행복홍삼액의 경우, 정상가보다 40~50% 저렴한 특별 할인가에 구매 가능하다. 행복홍삼액은 일반 홍삼분말보다 진하고 먹기 간편한 홍삼 과립 맥스와 100% 국내산 6년근 홍삼만을 저온 추출 방식으로 제조된 것이 특징이다. 뿐만 아니라 올해 신제품으로 출시한 밥과 함께 지어먹는 '홍삼담은한끼'도 20% 할인된 가격에 만나볼 수 있다. 밥알 크기로 작게 조분쇄한 '홍삼담은한끼'는 국내 최초의 홍삼식품으로써 단 1%의 첨가물도 허용하지 않은 최상급 국내산 6년근 홍삼을 그대로 섭취할 수 있다. 초복, 중복을 대비해 원기회복이 필요한 시점에 맞춘 불로건 홍삼 농축액 플러스, 더함 건강홍삼정, 진쎈 흑삼력 3종 할인 및 구매 금액에 따른 사은품도 증정할 예정이다. 대동고려삼(주)은 대한민국 고려인삼의 진생 로드(Ginseng Road)의 기반을 만들어 가는 기업으로 홍삼전문 브랜드 '불로건'과 흑삼 전문 브랜드 '진쎈'를 운영하고 있다. 뿌리삼 제조, 액상의 추출 농축과 고형제의 분말, 타블렛, 캡슐 등의 충전 설비 및 각각의 제형과 용량, 제품 특성에 따른 다양한 유형의 설비들을 갖추고 ODM(Original Development Manufacturing) & OEM(Original Equipment Manufacturing) 방식으로 웰빙 트렌드에 맞는 고품질 건강기능식품을 제조 및 공급하고 있다."
디지털타임스,178600,/news/news_read.nhn?article_id=0002434135&office_id=029&mode=search&query=대동고려삼&page=1,2017-11-23 09:34,대동고려삼 흑삼전문브랜드 `진쎈(GINSSEN)` 2017년 우수문화상품으로 선정,"대동고려삼(주)의 흑삼 제품인 ""진쎈 흑삼정 마일드""가 2017년도의 대한민국 우수문화상품으로 선정되어 화제를 모으고 있다. 진쎈 흑삼정 마일드는 이를 통해 K-ribbon 마크를 획득했다. k-ribbon, 즉 '우수문화상품 지정 제도'란 한국의 문화적 가치를 담은 우수문화상품을 지정하여, 체계적인 관리와 브랜드마케팅을 통해 전 세계에 그 우수성을 널리 알리는 제도이다. 문화체육관광부와 농림축산식품부가 주관한 K-ribbon_2017 우수문화상품으로 선정된 ""진쎈 흑삼정 마일드""는 건강기능식품으로는 유일하게 식품 우수문화상품으로 선정되어 더욱 주목을 받았다. 대동고려삼㈜에서 판매되고 있는 흑삼 제품들은 양질의 수삼만을 엄선하여 9번 찌고 9번 말리는 구증구포(九蒸九曝)의 과정을 통해 완성되며, 특히 맥반석건조시스템을 통해 자연친화적으로 건조되어 흑삼고유의 유효성분들을 파괴없이 섭취할 수 있는 제품으로, 특히 인삼의 유효성분이라고 할 수 있는 진세노사이드 성분들 중 Rg3 함량을 높인 제품이라고 할 수 있다. 제품들은 롯데백화점에 입점하여 판매가 이루어 지고 있으며, 이마트, 홈플러스 및 대동고려삼㈜ 공식쇼핑몰에서도 판매되고 있다. ""대한민국 대표 특산물인 인삼 제품을 제조하는 대동고려삼㈜는 진쎈흑삼정마일드를 비롯해 한국의 문화적 가치를 지닌 품질 높은 상품을 개발하여 경쟁력을 키워나가고 있으며, 이를 통해 한국 건강식품과 고려인삼의 우수성을 글로벌 시장에 널리 알리는 데 일조하겠다""고 최성근대표(대동고려삼)는 소감을 밝혔다."
부산일보,178600,/news/news_read.nhn?article_id=0000814463&office_id=082&mode=search&query=대동고려삼&page=1,2018-06-20 14:33,"대동고려삼, 식품안전관리 공로&hellip;대전식약청장 표창","대동고려삼 품질안전부 박기태 과장이 제17회 식품안전의 날 기념식에서 안전한 식품 공급 및 식생활 문화 발전에 기여한 공로를 인정받아 대전지방식품의약품안전청장 표창을 수상했다. 20일 대동고려삼㈜에 따르면, 박기태 과장은 고려인삼을 원료로 하는 여러 제품을 안전하고 위생적으로 생산하여 식품안전 수준 향상에 크게 기여한 공로를 인정받아 수상자로 선정됐다. 특히 홍삼농축액, 홍삼절편, 액상차류 등의 공정관리와 품질관리에 있어 투철한 사명감과 책임의식을 발휘한 점이 수상에 큰 영향을 미쳤다고 관계자는 전했다.   대동고려삼㈜은 2002년 3월에 설립된 인삼가공식품 전문제조기업으로서, 식품의약품안전처의 우수건강식품제조 심사기준인 GMP인증마크를 받은 첨단 가공 시설에서 모든 제품을 직접 생산하고 있다. 홍삼가공 제품과 중간원료를 제조하여 완제품 업체에 납품한다."
머니투데이,178600,/news/news_read.nhn?article_id=0003575571&office_id=008&mode=search&query=대동고려삼&page=1,2015-11-10 03:30,"대동고려삼, 홍삼 강소기업&hellip;글로벌 진출 '총력'","[머니투데이 강경래 기자] [편집자주] 코넥스는 '등용문'이다. 단순히 코스닥 상장을 넘어 글로벌시장 '넘버1'을 노리는 강소기업이 다수 포진해있어서다. 하지만 코스피와 코스닥에 비해 코넥스 상장기업에 대한 정보는 턱없이 부족한 실정이다. 코넥스 상장기업에 대한 투자자들의 이해와 투자를 돕기 위해 '점프업! 코넥스'를 통해 머니투데이 기자들이 '발로 뛰며' 취재한 코넥스 상장기업 분석을 제공한다. [[점프업!코넥스]한약사 최성근 대표 2002년 금산서 창업…현재 홍삼업계 '3위권'] 최성근 대동고려삼 대표 / 사진제공=대동고려삼 한약사 출신인 최성근 대표(60)는 '인삼의 메카'로 불리는 충남 금산에서   2002년 홍삼 전문기업인 대동고려삼을 설립했다. 금산은 현재 국내에서 유통되는 인삼 가운데 70∼80% 정도가 거래되는 지역이다. ◇'인삼의 메카' 터잡아…업계 '3위권' 성장= 홍삼은 정부 관할 하에 1997년까지 공기업이었던 한국인삼공사(정관장)가 독점해왔다. 대동고려삼은 독점적 사업자가 있는 홍삼 분야에 과감히 뛰어들어 현재 한국인삼공사와 농협홍삼(한삼인)에 이어 국내 3위권의 강소기업으로 거듭났다. 대동고려삼은 업계에서는 드물게 홍삼을 비롯해 백삼, 태극삼, 흑삼 등 인삼과 관련된 4가지 제품을 모두 사업화했다. 이러한 경쟁력을 바탕으로 2010년 이후 매년 20∼30% 정도 가파른 성장세를 이어가고 있다. 대동고려삼은 2015년 6월 결산법인 기준으로 매출액과 영업이익, 당기순이익은 각각 360억원, 27억원, 17억원을 기록했다. 사상 최대 실적이다. 매출액을 기준으로 2010년(116억원)과 비교해 5년 동안 3배 이상 성장했다. 대동고려삼은 지난 8월 LG생활건강과의 전략적인 협력도 맺었다. 대동고려삼의 구주 29만7620주(지분율 5.2%)를 LG생활건강이 인수한 것. 회사 관계자는 ""LG생활건강과 현재 공동 연구개발(R&D) 등 다양한 협력방안을 모색 중""이라며 ""내년 이후 협력분야에서 가시적인 성과가 나올 것""이라고 말했다. ◇내수 넘어 해외 홍삼시장 '공략'= 대동고려삼을 비롯한 국내 홍삼업체들은 연간 1조3000억∼1조4000억원 규모의 내수시장에 집중하고 있다. 해외로 수출하는 물량은 연간 2억달러 수준에 불과하다. 이 관계자는 ""중장기적으로 성장하기 위해서는 해외시장 개척이 필수""라며 ""홍삼 수출액은 지난해 100만 달러 수준에서 올해 200만 달러 규모로 2배 정도 성장할 것으로 예상되며, 향후에도 수출 비중은 계속 늘어날 것""이라고 말했다. 대동고려삼은 현재 주문자상표부착(OEM)과 제조자개발생산(ODM) 등 외주로 업계에 공급하는 비중이 전체 실적 가운데 60∼70% 가량을 차지한다. 때문에 독자사업 비중을 늘려가는 것도 향후 성장을 위한 관건으로 꼽힌다. 회사 관계자는 ""현재 일반 소비자들을 대상으로 '불로건'과 '더함' 등 독자 브랜드 인지도를 높이는 작업에 주력하고 있다""며 ""외주 물량도 꾸준히 늘려가야겠지만, 독자사업 또한 지속 강화해 갈 것""이라고 말했다. 대동고려삼은 홍삼뿐만 아니라 향후 일반 건강기능식품 분야에도 진출, '규모의 경제'를 실현한다는 계획이다. 한편 대동고려삼은 내년 하반기 이후 코스닥 시장으로의 이전 상장을 추진 중이다. textlinktopstart textlinktopend textlinkstart"
