source,symbol,link,date,title,content
머니투데이,141070,/news/news_read.nhn?article_id=0003972617&office_id=008&mode=search&query=맥스로텍&page=1,2017-12-01 11:26,"맥스로텍, 中과 12억 규모 산업로봇 자동화시스템 계약",[머니투데이 구유나 기자] 맥스로텍은 중국 WUHAN DONG FENG MOTOR INDUSTRY IMPORT & EXPORT CO. LTD.와 12억3000만원 규모의 산업용로봇 자동화 시스템 계약을 체결했다고 1일 공시했다. 이는 지난해 매출액 대비 3.07% 규모다.
한국경제,141070,/news/news_read.nhn?article_id=0003545334&office_id=015&mode=search&query=맥스로텍&page=1,2016-02-15 16:33,"맥스로텍, 제3자배정 유상증자 조회공시",[ 박상재 기자  ] 한국거래소 코스닥시장본부는 15일 맥스로텍에 제3자배정 유상증자 추진설의 사실여부와 내용을 묻는 조회공시를 요구했다. 답변 시한은 다음 날 정오까지다. 박상재 한경닷컴 기자
아시아경제,141070,/news/news_read.nhn?article_id=0004131155&office_id=277&mode=search&query=맥스로텍&page=1,2017-12-01 11:22,"맥스로텍, 중국에 산업용로봇 자동화 시스템 공급",[아시아경제 박선미 기자]맥스로텍은 중국에 12억원 규모 산업용로봇 자동화 시스템 공급계약을 체결했다고 1일 공시했다.
연합뉴스,141070,/news/news_read.nhn?article_id=0008703601&office_id=001&mode=search&query=맥스로텍&page=1,2016-09-23 17:13,맥스로텍 &quot;최대주주 지분매각 검토 중&quot;,"(서울=연합뉴스) 김현정 기자 = 코스닥 상장사 맥스로텍은 최대주주 지분매각 추진설에 대한 한국거래소의 조회공시 요구에 ""최대주주 지분 매각을 검토 중이나 현재까지 구체적으로 확정된 사항은 없다""고 23일 답변했다. 회사측은 ""구체적인 사항이 결정되는 시점 또는 1개월 이내에 재공시할 것""이라고 덧붙였다. 재공시 기한은 다음 달 23일이다."
헤럴드경제,141070,/news/news_read.nhn?article_id=0001312688&office_id=016&mode=search&query=맥스로텍&page=1,2017-11-08 14:24,"[생생코스닥]맥스로텍, 현대위아와 24.8억 규모 공급계약",[헤럴드경제=증권팀] 맥스로텍은 현대위아와 산업용로봇 자동화 시스템 공급계약을 체결했다고 8일 공시했다. 계약금액은 24억8500만원이며 이는 2016년 매출액 대비 6.2%에 해당하는 규모이다. 계약기간은 2019년 6월 30일까지다.
아시아경제,141070,/news/news_read.nhn?article_id=0003687295&office_id=277&mode=search&query=맥스로텍&page=1,2016-02-15 16:51,"거래소, 맥스로텍 유상증자 추진설 조회공시 요구",[아시아경제 최서연 기자] 거래소는 15일 맥스로텍의 제3자배정 유상증자 추진설의 사실여부 및 구체적인 내용에 대한 조회공시를 요구했다. 답변시한은 16일 오후 12시까지다.
파이낸셜뉴스,141070,/news/news_read.nhn?article_id=0003747477&office_id=014&mode=search&query=맥스로텍&page=1,2016-12-13 10:20,[fnRASSI]맥스로텍(141070) 현재 +5.79%,"맥스로텍(141070)은 현재 주가가 전일 대비 5.79% 상승한 1,735원 선에서 거래가 이루어지고 있다.  외국인투자자 연속 5일 순매도최근 5일간 동종목의 외국인 투자자는 205,634주 매수하였고 마찬가지로 기관은 0주 매수하였다. 전날 외국인은 57,337주 매수했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.  기관/개인 순매수, 외국인은 순매도(한달누적) 12월6일부터 전일까지 외국인이 5거래일 연속 동종목을 사들였다. 4주간을 기준으로 보면 기관이 매수반전의 모습을 보이며 32,067주를 순매수했고, 개인들도 매수 우위를 유지하면서 53,387주를 순매수했다. 반면 그 동안 외국인은 85,454주를 순매도했다.  
 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
이데일리,141070,/news/news_read.nhn?article_id=0003476053&office_id=018&mode=search&query=맥스로텍&page=1,2016-02-15 17:08,"거래소, 맥스로텍에 제3자배정 유상증자 추진설 조회공시 요구",[이데일리 이명철 기자] 한국거래소 코스닥시장본부는 맥스로텍(141070)에 제3자배정 유상증자 추진설의 사실여부 및 구체적인 내용에 대한 조회공시를 요구했다. 답변시한은 오는 16일 정오까지다.
전자신문,141070,/news/news_read.nhn?article_id=0002663074&office_id=030&mode=search&query=맥스로텍&page=1,2017-12-01 11:32,[ET투자뉴스]맥스로텍(141070) 수주ㆍ공급계약 - &quot;WUHAN DONG FE,맥스로텍(141070)은 산업용로봇 자동화 시스템에 관한 단일판매ㆍ공급계약체결(자율공시)를  1일에 공시했다.  해당공시의 주요내용은 다음과 같다. -. 계약명 : 산업용로봇 자동화 시스템 -. 계약상대방 : WUHAN DONG FENG MOTOR INDUSTRY IMPORT & EXPORT CO. LTD. -. 판매 및 공급지역 : 중국 -. 계약금액 : 12.3억원 -. 회사의 최근매출액 : 400.9억원 -. 매출액 대비 비중(%) : 3.07% -. 계약기간 : 2017년 12월1일 ~ 2018년 12월1일( 계약기간 총 365일) -. 계약(수주)일자 : 2017년 12월 1일
아시아경제,141070,/news/news_read.nhn?article_id=0003833100&office_id=277&mode=search&query=맥스로텍&page=1,2016-09-23 17:05,"맥스로텍 &quot;최대주주, 지분매각 추진 중&quot;","[아시아경제 이정민 기자] 맥스로텍은 최대주주 지분매각설과 관련해 ""최대주주 김인환(개인)에게 문의한 결과 지분매각을 검토중에 있으나 현재까지 구체적으로 확정된 사항은 없다""고 23일 답변했다."
