source,symbol,link,date,title,content
파이낸셜뉴스,223220,/news/news_read.nhn?article_id=0003976032&office_id=014&mode=search&query=구름게임즈앤컴퍼니&page=1,2018-03-05 11:30,"[fnRASSI]구름게임즈앤컴퍼니, 6.95% 오르며 거래량 증가","구름게임즈앤컴퍼니(223220)는 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 구름게임즈앤컴퍼니는 8일 연속 상승흐름을 보이며, 11시 25분 현재 6.95% 증가한 1,385원에 거래중이다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
아시아경제,223220,/news/news_read.nhn?article_id=0004064204&office_id=277&mode=search&query=구름게임즈앤컴퍼니&page=1,2017-08-29 16:41,"구름컴퍼니, '구름게임즈앤컴퍼니'로 사명 변경","[아시아경제 조강욱 기자] 구름컴퍼니는 29일 주주총회를 통해 사명을 '구름게임즈앤컴퍼니'로 변경했다고 공시했다. 영문 사명은 'GURUM COMPANY,Inc.'에서 'GURUM GAMES & COMPANY,Inc.'로 변경됐다. 회사 측은 변경 사유에 대해 ""회사의 사업목적에 부합하는 상호 변경을 통한 회사 정체성(Identity)강화 및 기업 이미지 제고""라고 설명했다."
파이낸셜뉴스,223220,/news/news_read.nhn?article_id=0003950484&office_id=014&mode=search&query=구름게임즈앤컴퍼니&page=1,2018-01-24 09:37,"[fnRASSI]구름게임즈앤컴퍼니, 거래량 확대되며 4거래일 연속 하락",구름게임즈앤컴퍼니(223220)의 현재 거래량이 최근 5거래일 거래량의 최고치를 경신했다. 그리고 현재 전 거래일보다 14.77% 감소하여 4일 연속 하락흐름을 보이고 있다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.
머니투데이,223220,/news/news_read.nhn?article_id=0004039179&office_id=008&mode=search&query=구름게임즈앤컴퍼니&page=1,2018-04-17 12:36,"구름게임즈앤컴퍼니, 상장폐지 사유 발생",[머니투데이 유엄식 기자] 코넥스시장본부는 구름게임즈앤컴퍼니의 상장폐지 사유가 발생했다고 17일 공시했다. 시장본부에 따르면 구름게임즈앤컴퍼니는 최근 사업연도 재무제표에 대한 감사인의 감사의견이 존손능력 불확실성에 따른 '의견거절'로 공시된 이후 이에 대한 사유해소 확인서를 제출하지 못한 것으로 알려졌다. 회사 측이 7일 이내 이의신청을 하지 않을 경우 상장폐지 절차가 진행될 예정이다.
머니투데이,223220,/news/news_read.nhn?article_id=0003926568&office_id=008&mode=search&query=구름게임즈앤컴퍼니&page=1,2017-08-29 16:36,"구름컴퍼니, 사명 '구름게임즈앤컴퍼니'로 변경","[머니투데이 변휘 기자] 구름컴퍼니는 29일 주주총회를 통해 사명을 '구름게임즈앤컴퍼니'로 변경했다고 공시했다. 영문 사명은 'GURUM COMPANY,Inc.'에서 'GURUM GAMES & COMPANY,Inc.'로 변경됐다. 변경 사유는 ""회사의 사업목적에 부합하는 상호 변경을 통한 회사 정체성(Identity)강화 및 기업 이미지 제고""라고 설명했다."
뉴시스,223220,/news/news_read.nhn?article_id=0008147263&office_id=003&mode=search&query=구름게임즈앤컴퍼니&page=1,2017-08-29 17:04,"구름컴퍼니, 상호 '구름게임즈앤컴퍼니'로 변경",【서울 =뉴시스】남빛나라 기자 = 구름컴퍼니(223220)는 회사명을 '구름게임즈앤컴퍼니'로 변경한다고 29일 공시했다 사측은 회사의 사업목적에 부합하는 상호 변경을 통한 회사 정체성 강화와 기업 이미지 제고가 목적이라고 밝혔다.
