source,symbol,link,date,title,content
연합뉴스,227420,/news/news_read.nhn?article_id=0008919880&office_id=001&mode=search&query=오백볼트&page=1,2016-12-28 11:12,㈜오백볼트 코넥스시장 신규상장기념식,"(서울=연합뉴스) 28일 오전 서울 여의도 한국거래소에서 벤처육성 전문기업인 ㈜오백볼트의 코넥스시장 신규상장기념식이 열리고 있다. 왼쪽부터 김영균 한국IR협의회 사무국장, 김재준 한국거래소 코스닥시장위원장, 김충범 ㈜오백볼트 대표이사, 김성현 KB투자증권 부사장. 2016.12.28 [한국거래소 제공=연합뉴스]"
이데일리,227420,/news/news_read.nhn?article_id=0003699897&office_id=018&mode=search&query=오백볼트&page=1,2016-12-12 16:02,"오백볼트, 연내 코넥스 상장 목표로 IPO 신청","[이데일리 박경훈 기자] 창업부터 IPO(기업공개)까지 평균 14.2년이 소요되는 대한민국의 기업 생태계를 2.5년으로 단축하고자 패스트 엑시트 플랫폼(Fast Exit Platform)을 표방하며 출범한 500V(오백볼트)가 지난 9일 한국거래소에 코넥스 상장신청서를 제출했다. 금융감독원 전자공시시스템에 따르면 500V는 지난해연결기준 매출액 231억원, 영업이익 7억3000만원을 달성했고 이를 기반으로 코넥스 상장을 신청했다. 약 2주 정도의 상장심사를 거쳐 상장승인여부가 결정된다. 지정자문인은 KB투자증권이다. 전용렬 최고재무책임자(CFO)는 “오백볼트의 상장은 스타트업 벤처업계에 특별한 의미를 지닐 수 있을 것”이라며 “벤처연합 모델 최초 코넥스 상장을 위해 최선을 다하겠다”는 포부를 밝혔다."
조세일보,227420,/news/news_read.nhn?article_id=0002166709&office_id=123&mode=search&query=오백볼트&page=1,2017-08-02 17:04,김충범 오백볼트 대표 &quot;벤처연합 뜬다&quot; '왜?',"벤처연합이 뜬다. 정부가 지난달 25일 중소기업이 공동출자하는 협업전문회사제도를 도입하겠다고 밝힌 가운데 중소기업간 공동연구개발 지원 사업도 75억원 규모로 늘려 중소기업 협업 사업에 대한 우대를 강화할 방침이다. 협업 사업을 통한 제품에 대해서도 지방지치단체 뿐 아니라 중앙정부와 공공기관까지 우선구매제도 적용 대상을 확대한다. 이와 관련 오백볼트 김충범 대표는 최근 열린 스타트업 컨퍼런스 행사 GSC 2017 기조연설에 나서 빠른 성장의 핵심 키워드로 동맹을 강조한 바 있다. 오백볼트(500V)는 벤처연합을 슬로건으로 내걸고 11개 스타트업을 묶은 협업전문회사다. 2016년 12월 설립 2년 만에 코넥스 상장을 한 데 이어 코스닥 상장을 준비 중이다. 김 대표는 월마트를 예로 들며 ""전 세계 161개국 재정수입보다 크다. 기업이 웬만한 국가보다 큰 경제 규모를 지니고 있다""고 말했다. 이어 ""잘 키운 기업 하나가 열 국가 안 부러운 꼴""이라며 ""하지만 국내 기업은 대기업을 포함해 포브스 글로벌 2000에 한 세대 이전에 만들어진 66개만 이름을 올리고 있다""고 덧붙였다. 이에 비해 ""창업 5년 미만 스타트업 중 75%는 폐업을 겪는다. 이스라엘 같은 스타트업 강국이 엑싯 비율이 60%에 달하는 반면 우리나라는 0.4%에 머물고 있다는 점이 한국을 창업가의 지옥으로 만들고 있다""고 강조했다. 김 대표는 ""기업은 규모의 경제""라는 점도 강조했다. ""기업이 성장 성적표를 올리려면 결국 경제 규모를 갖추지 않으면 실현 불가능한 조건이 될 것""이라고 조언했다. 그는 ""새 정부가 밝힌 협업전문회사제도 컨셉트도 강조했다. 국내에서 같은 비즈니스를 하는 기업끼리 손잡아 덩치를 키우고 해외 상장에 도전장을 내밀며 궁극적으론 국경 없는 동맹에 나서 해외 업체와 피를 섞는 지분 교환을 통해 규모의 경제를 완성해야 한다""고 강조했다. 김충범 오백볼트 대표는 ""먼저 국내에서 덩치를 키워 로컬 IPO를 완성하는 단계로 이행하고 해외 진출도 계획하고 있다""고 말했다. 한편 정부의 협업전문회사제도 도입에 따라 중소기업의 이른바 벤처연합이 앞으로 늘어날 가능성이 높을 것으로 전망된다."
아시아경제,227420,/news/news_read.nhn?article_id=0004014197&office_id=277&mode=search&query=오백볼트&page=1,2017-06-14 16:44,"오백볼트, 30억 규모 3자배정 유상증자 결정","[아시아경제 박미주 기자]오백볼트가 운영자금 마련을 위해 29억9900만원 규모의 제3자배정 방식의 유상증자를 결정했다고 14일 공시했다. 대상자는 안성현, 김현지씨다. 발행되는 신주는 보통주 47만4308주다. 신주 상장 예정일은 내달 7일이다."
이데일리,227420,/news/news_read.nhn?article_id=0003712586&office_id=018&mode=search&query=오백볼트&page=1,2016-12-28 11:14,[포토] (주)오백볼트 코넥스시장 신규상장기념식,"[이데일리 김태형 기자] 한국거래소 코스닥시장본부는 28일 서울사옥 홍보관에서 벤쳐육성 전문기업인 (주)오백볼트의 코넥스시장 신규상장기념식을 개최했다. 왼쪽부터 김영균 한국IR협의회 사무국장, 김재준 한국거래소 코스닥시장위원회 위원장, 김충범 (주)오백볼트 대표이사, 김성현 KB투자증권 부사장. 한국거래소 제공."
파이낸셜뉴스,227420,/news/news_read.nhn?article_id=0004049829&office_id=014&mode=search&query=오백볼트&page=1,2018-07-02 10:49,"[fnRASSI]오백볼트, 14.89% 오르며 거래량 증가","오백볼트는 투자자들의 관심으로 당일 거래량이 최근 5거래일 거래량의 최고치를 경신했다. 그리고 오백볼트는 3일 연속 상승흐름을 보이며, 10시 46분 현재 14.89% 증가한 432원에 거래중이다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
파이낸셜뉴스,227420,/news/news_read.nhn?article_id=0003724453&office_id=014&mode=search&query=오백볼트&page=1,2016-10-24 09:18,"오백볼트, IPO주관사로 KB투자증권 선정","기업의 빠른 엑시트(EXIT)를 통해 대한민국의 기업 및 투자 생태계를 혁신하고자 출범한 500V(오백볼트)가 KB투자증권을 상장주관사로 확정했다고 24일 밝혔다. 500V는 지난 18일, 코스닥 상장을 위한 대표주관사로 KB투자증권을 선임하고 코스닥 상장을 위한 대표주관계약을 체결했다고 밝혔다. 500V는 올해 초부터 IPO에 본격적인 드라이브를 걸고 있다. 기존 독립된 부서였던 IPO팀을 경영관리본부에 통합시키고 유관 업무 인력을 보강했다. IPO팀을 필두로 전사적으로 코스닥 상장 관련 업무를 진행·관리하는 등 적극적인 움직임을 보이고 있다. 또한 지난해부터 준비해온 '500V 경영통합시스템'을 구축 완료했다. 클라우드 시스템을 통해 500V와 얼라이언스 기업 간 효율적인 재무관리, 자료공유, 협업 등이 보다 체계적으로 가능해졌다. 최근엔 환경·바이오에너지 사업부를 통해 벤처연합으로써는 최초로 태양광 에너지 저장장치 사업과 하수슬러지 연료화 사업, 바이오 유기비료 사업 등 에너지 사업에 진출했다. 지난 9월, 중국 북대황그룹과 2000억원 규모의 바이오 에너지 사업 계약을 체결하기도 했다. 이러한 IPO중심의 조직개편, 경영통합시스템, 신규 사업을 기반으로 오백볼트는 반드시 벤처연합 최초, O2O모델 최초로 코스닥에 상장 하겠다는 의지다. 500V 전용렬 최고재무책임자(CFO) 는 ""500V의 모델에 대해 높은 관심과 이해도를 보인 KB투자증권과 함께 하게 돼 기쁘다""며 ""철저한 준비를 바탕으로 벤처연합 모델이 코스닥에 상장하는 결과를 반드시 이뤄낼 것""이라고 말했다. KB투자증권의 담당자는 ""14.2년이 소요되는 IPO기간을 2.5년으로 줄이겠다는 500V의 혁신에 동참하게 돼 기쁘다""며 ""올해 상반기 매출이 전년 동기대비 900% 이상 성장하는 등의 긍정적인 시그널로 보아 큰 무리 없이 IPO가 가능할 것으로 예상되지만 선례가 없던 모델인 만큼 신중하게 접근 할 것""이라고 말했다."
파이낸셜뉴스,227420,/news/news_read.nhn?article_id=0003800023&office_id=014&mode=search&query=오백볼트&page=1,2017-04-07 11:19,"[fnRASSI]오백볼트, 거래량 확대되며 3거래일 연속 하락","오백볼트(227420)의 당일 거래량이 최근 5거래일 거래량의 최고치를 경신했다. 그리고 현재 2.88% 내린 2,695원에 거래중이며 3일 연속 하락흐름을 보이고 있다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다."
파이낸셜뉴스,227420,/news/news_read.nhn?article_id=0004003537&office_id=014&mode=search&query=오백볼트&page=1,2018-04-17 10:48,"[fnRASSI]오백볼트, 당일 거래량 증가하며 6거래일 하락세 지속",오백볼트(227420)는 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 현재 전 거래일보다 1.43% 감소하여 6일 연속 하락흐름을 보이고 있다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.
전자신문,227420,/news/news_read.nhn?article_id=0002502158&office_id=030&mode=search&query=오백볼트&page=1,2016-07-12 18:09,"오백볼트 김충범 대표, &lsquo;도전! K스타트업 2016&rsquo; 심사위원으로 선정","△KBS 도전! K-스타트업 2016 홈페이지 갈무리  [전자신문인터넷 소성렬기자] 500V(오백볼트)의 김충범 대표가 KBS 1TV에서 방영하는 ‘도전 K스타트업 2016’ 프로그램의 심사위원으로 선정됐다. ‘도전 K스타트업 2016’은 스타트업 창업열기를 조성하여 대한민국의 신성장동력을 창출하고 각종 사업모델과 아이디어의 경연을 통해 벤처기업의 확산과 발전을 도모하고자 제작된 프로그램이다. 현재 다양한 스타트업이 출연해 치열한 경합을 벌이고 있다. 개그맨 신동엽의 사회로 최종우승자에게 대통령상과 함께 상금 2억 원, 2등에게 국무총리상과 상금 1억원을 지급하는 등 총 상금 11억원 규모의 서바이벌 형태로 진행된다. 한편 ‘도전 K스타트업 2016’ 심사위원으로는 다음소프트 송길영 부사장, 요즈마캠퍼스 김진아 이사 그리고 오백볼트의 김충범 총괄대표 등이 선정돼 활동하고 있다. 지난 달 26일 첫 방송을 시작했으며 매주 일요일 낮 1시 20분에 방송된다."
